Crop,State,Season,Area-2020-21 (Lakh ha),Area-2021-22 (Lakh ha),Area-2022-23 (Lakh ha),Area-2023-24 (Lakh ha),Area-2024-25 (Lakh ha),Production-2020-21,Production-2021-22 (Lakh Tonnes),Production-2022-23  (Lakh Tonnes),Production-2023-24  (Lakh Tonnes),Production-2024-25  (Lakh Tonnes),Yield-2020-21 (Kg/ha),Yield-2021-22 (Kg/ha),Yield-2022-23 (Kg/ha),Yield-2023-24 (Kg/ha),Yield-2024-25 (Kg/ha)
Rice,Andaman And Nicobar Islands,Kharif,0.06,0.06,0.05,0.05,,0.13,0.13,0.11,0.1,,2133,2133,2107,2100,
Rice,Andaman And Nicobar Islands,Rabi,,,,,,,0,,,,,,,,
Rice,Andhra Pradesh,Kharif,14.96,15.08,14.52,13.47,14.04,42.11,43.26,49.86,46.95,50.31,2815,2869,3434,3485,3583
Rice,Andhra Pradesh,Rabi,8.28,7.81,6.77,5.73,6.71,36.72,34.37,29.56,26.46,29.86,4437,4401,4366,4616,4450
Rice,Arunachal Pradesh,Kharif,1.33,1.36,1.36,1.37,,2.46,2.51,2.53,2.54,,1849,1852,1857,1858,
Rice,Arunachal Pradesh,Rabi,0,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,1340,1343,1345,1347,
Rice,Assam,Kharif,19.8,19.83,19.43,19.18,18.36,41.43,35.38,45.18,43.74,38.91,2092,1784,2326,2281,2120
Rice,Assam,Rabi,3.8,3.7,,,,10.72,8.44,,,,2820,2281,,,
Rice,Assam,Summer,,,3.75,3.78,3.65,,,11.06,11.64,10.26,,,2949,3080,2812
Rice,Bihar,Kharif,29.62,30.37,28.09,30.5,31.59,66.11,75.72,68.73,77.29,82.85,2232,2493,2447,2534,2623
Rice,Bihar,Rabi,0.59,0.54,,,,1.36,1.45,,,,2307,2682,,,
Rice,Bihar,Summer,,,0.54,0.6,0.56,,,1.5,1.73,1.56,,,2778,2888,2783
Rice,Chandigarh,Kharif,0,0,0,0,,0,0,0,0,,5500,5500,3950,4979,
Rice,Chandigarh,Rabi,,0,,,,,0,,,,,0,,,
Rice,Chhattisgarh,Kharif,37.91,37.59,37.71,38.22,39.03,71.61,80.22,98.12,97.03,85.35,1889,2134,2602,2539,2187
